Roll:-104.01, Pitch:  78.43, Yaw: -62.13| 
Roll:-103.54, Pitch:  78.24, Yaw: -61.06| 
Roll:-103.09, Pitch:  78.05, Yaw: -60.04| 
Roll:-102.77, Pitch:  77.85, Yaw: -59.15| 
Roll:-102.58, Pitch:  77.66, Yaw: -58.40| 
Roll:-102.42, Pitch:  77.49, Yaw: -57.70| 
Roll:-102.29, Pitch:  77.31, Yaw: -57.04| 
Roll:-102.16, Pitch:  77.13, Yaw: -56.40| 
Roll:-102.13, Pitch:  76.95, Yaw: -55.88| 
Roll:-102.30, Pitch:  76.79, Yaw: -55.60| 
Roll:-102.49, Pitch:  76.65, Yaw: -55.36| 
Roll:-102.73, Pitch:  76.52, Yaw: -55.18| 
Roll:-103.01, Pitch:  76.38, Yaw: -55.07| 
Roll:-103.24, Pitch:  76.24, Yaw: -54.93| 
Roll:-103.38, Pitch:  76.11, Yaw: -54.70| 
Roll:-103.51, Pitch:  75.97, Yaw: -54.47| 
Roll:-103.58, Pitch:  75.81, Yaw: -54.19| 
Roll:-103.62, Pitch:  75.65, Yaw: -53.86| 
Roll:-103.68, Pitch:  75.49, Yaw: -53.51| 
Roll:-103.61, Pitch:  75.33, Yaw: -53.04| 
Roll:-103.51, Pitch:  75.17, Yaw: -52.53| 
Roll:-103.47, Pitch:  75.02, Yaw: -52.10| 
Roll:-103.37, Pitch:  74.87, Yaw: -51.64| 
Roll:-103.22, Pitch:  74.71, Yaw: -51.12| 
Roll:-103.14, Pitch:  74.57, Yaw: -50.71| 
Roll:-103.06, Pitch:  74.44, Yaw: -50.33| 
Roll:-102.97, Pitch:  74.33, Yaw: -49.96| 
Roll:-102.94, Pitch:  74.23, Yaw: -49.70| 
Roll:-102.97, Pitch:  74.15, Yaw: -49.55| 
Roll:-103.01, Pitch:  74.10, Yaw: -49.48| 
Roll:-103.01, Pitch:  74.06, Yaw: -49.43| 
Roll:-102.93, Pitch:  74.06, Yaw: -49.44| 
Roll:-102.86, Pitch:  74.08, Yaw: -49.56| 
Roll:-102.79, Pitch:  74.13, Yaw: -49.80| 
Roll:-102.68, Pitch:  74.22, Yaw: -50.10| 
Roll:-102.57, Pitch:  74.34, Yaw: -50.51| 
Roll:-102.50, Pitch:  74.49, Yaw: -51.08| 
Roll:-102.40, Pitch:  74.67, Yaw: -51.74| 
Roll:-102.32, Pitch:  74.88, Yaw: -52.51| 
Roll:-102.21, Pitch:  75.12, Yaw: -53.32| 
Roll:-101.94, Pitch:  75.40, Yaw: -54.04| 
Roll:-101.70, Pitch:  75.70, Yaw: -54.90| 
Roll:-101.58, Pitch:  76.01, Yaw: -55.99| 
Roll:-101.57, Pitch:  76.33, Yaw: -57.30| 
Roll:-101.78, Pitch:  76.65, Yaw: -58.92| 
Roll:-102.28, Pitch:  76.97, Yaw: -60.94| 
Roll:-102.89, Pitch:  77.32, Yaw: -63.13| 
Roll:-103.64, Pitch:  77.66, Yaw: -65.49| 
Roll:-104.62, Pitch:  78.00, Yaw: -68.11| 
Roll:-105.76, Pitch:  78.33, Yaw: -70.95| 
Roll:-107.01, Pitch:  78.68, Yaw: -73.93| 
Roll:-108.74, Pitch:  79.02, Yaw: -77.44| 
Roll:-110.85, Pitch:  79.36, Yaw: -81.34| 
Roll:-113.19, Pitch:  79.71, Yaw: -85.47| 
Roll:-115.68, Pitch:  80.04, Yaw: -89.72| 
Roll:-118.44, Pitch:  80.32, Yaw: -94.21| 
Roll:-121.59, Pitch:  80.53, Yaw: -99.06| 
Roll:-124.95, Pitch:  80.70, Yaw:-104.06| 
Roll:-128.01, Pitch:  80.85, Yaw:-108.71| 
Roll:-130.81, Pitch:  80.98, Yaw:-113.05| 
Roll:-133.78, Pitch:  81.08, Yaw:-117.53| 
Roll:-137.11, Pitch:  81.12, Yaw:-122.33| 
Roll:-140.25, Pitch:  81.16, Yaw:-126.89| 
Roll:-143.02, Pitch:  81.21, Yaw:-130.99| 
Roll:-145.65, Pitch:  81.24, Yaw:-134.92| 
Roll:-148.25, Pitch:  81.22, Yaw:-138.80| 
Roll:-150.85, Pitch:  81.18, Yaw:-142.68| 
Roll:-153.38, Pitch:  81.11, Yaw:-146.47| 
Roll:-155.77, Pitch:  80.98, Yaw:-150.16| 
Roll:-158.07, Pitch:  80.83, Yaw:-153.78| 
Roll:-160.20, Pitch:  80.64, Yaw:-157.22| 
Roll:-162.13, Pitch:  80.45, Yaw:-160.47| 
Roll:-163.90, Pitch:  80.24, Yaw:-163.54| 
Roll:-165.55, Pitch:  80.01, Yaw:-166.49| 
Roll:-167.14, Pitch:  79.74, Yaw:-169.39| 
Roll:-168.58, Pitch:  79.46, Yaw:-172.13| 
Roll:-169.73, Pitch:  79.23, Yaw:-174.56| 
Roll:-170.64, Pitch:  79.04, Yaw:-176.73| 
Roll:-171.44, Pitch:  78.84, Yaw:-178.76| 
Roll:-172.15, Pitch:  78.66, Yaw: 179.34| 
Roll:-172.73, Pitch:  78.53, Yaw: 177.60| 
Roll:-173.28, Pitch:  78.38, Yaw: 175.87| 
Roll:-173.86, Pitch:  78.24, Yaw: 174.14| 
Roll:-174.41, Pitch:  78.07, Yaw: 172.44| 
Roll:-174.89, Pitch:  77.91, Yaw: 170.81| 
Roll:-175.36, Pitch:  77.74, Yaw: 169.20| 
Roll:-175.78, Pitch:  77.55, Yaw: 167.64| 
Roll:-176.23, Pitch:  77.35, Yaw: 166.07| 
Roll:-176.56, Pitch:  77.21, Yaw: 164.64| 
Roll:-176.80, Pitch:  77.04, Yaw: 163.32| 
Roll:-177.00, Pitch:  76.82, Yaw: 162.04| 
Roll:-177.25, Pitch:  76.58, Yaw: 160.74| 
Roll:-177.48, Pitch:  76.34, Yaw: 159.45| 
Roll:-177.62, Pitch:  76.10, Yaw: 158.25| 
Roll:-177.70, Pitch:  75.83, Yaw: 157.12| 
Roll:-177.84, Pitch:  75.52, Yaw: 156.01| 
Roll:-178.02, Pitch:  75.27, Yaw: 154.95| 
Roll:-178.02, Pitch:  75.08, Yaw: 154.12| 
Roll:-177.96, Pitch:  74.91, Yaw: 153.40| 
Roll:-177.85, Pitch:  74.72, Yaw: 152.79| 
Roll:-177.79, Pitch:  74.50, Yaw: 152.15| 
Roll:-177.87, Pitch:  74.27, Yaw: 151.37| 
Roll:-177.70, Pitch:  74.03, Yaw: 150.83| 
Roll:-177.40, Pitch:  73.73, Yaw: 150.42| 
Roll:-177.20, Pitch:  73.37, Yaw: 149.93| 
Roll:-177.15, Pitch:  73.01, Yaw: 149.36| 
Roll:-177.01, Pitch:  72.73, Yaw: 149.08| 
Roll:-176.92, Pitch:  72.60, Yaw: 148.99| 
Roll:-176.93, Pitch:  72.48, Yaw: 148.94| 
