Roll: 112.89, Pitch:  15.89, Yaw: 100.05| 
Roll: 113.02, Pitch:  15.98, Yaw: 100.60| 
Roll: 113.16, Pitch:  16.08, Yaw: 101.15| 
Roll: 113.34, Pitch:  16.25, Yaw: 101.66| 
Roll: 113.56, Pitch:  16.42, Yaw: 102.34| 
Roll: 113.77, Pitch:  16.55, Yaw: 103.00| 
Roll: 114.00, Pitch:  16.70, Yaw: 103.69| 
Roll: 114.20, Pitch:  16.93, Yaw: 104.46| 
Roll: 114.39, Pitch:  17.22, Yaw: 105.30| 
Roll: 114.60, Pitch:  17.58, Yaw: 106.13| 
Roll: 114.85, Pitch:  17.96, Yaw: 106.94| 
Roll: 115.16, Pitch:  18.33, Yaw: 107.77| 
Roll: 115.46, Pitch:  18.68, Yaw: 108.58| 
Roll: 115.73, Pitch:  19.00, Yaw: 109.35| 
Roll: 116.00, Pitch:  19.32, Yaw: 110.03| 
Roll: 116.34, Pitch:  19.65, Yaw: 110.69| 
Roll: 116.57, Pitch:  19.86, Yaw: 111.24| 
Roll: 116.73, Pitch:  20.05, Yaw: 111.65| 
Roll: 116.81, Pitch:  20.21, Yaw: 111.88| 
Roll: 116.79, Pitch:  20.31, Yaw: 111.92| 
Roll: 116.71, Pitch:  20.34, Yaw: 111.76| 
Roll: 116.58, Pitch:  20.28, Yaw: 111.43| 
Roll: 116.37, Pitch:  20.12, Yaw: 110.94| 
Roll: 116.09, Pitch:  19.90, Yaw: 110.31| 
Roll: 115.76, Pitch:  19.62, Yaw: 109.57| 
Roll: 115.39, Pitch:  19.31, Yaw: 108.72| 
Roll: 114.98, Pitch:  18.98, Yaw: 107.73| 
Roll: 114.46, Pitch:  18.62, Yaw: 106.58| 
Roll: 113.88, Pitch:  18.24, Yaw: 105.28| 
Roll: 113.34, Pitch:  17.83, Yaw: 103.87| 
Roll: 112.88, Pitch:  17.42, Yaw: 102.36| 
Roll: 112.37, Pitch:  17.01, Yaw: 100.72| 
Roll: 111.79, Pitch:  16.63, Yaw:  99.01| 
Roll: 111.18, Pitch:  16.29, Yaw:  97.20| 
Roll: 110.57, Pitch:  15.97, Yaw:  95.26| 
